domain,ablation,metric,delta_convention,full_value,removal_value,delta_removal_minus_full,event_count,score_coverage_rate,audit_ok,degeneracy_audit_ok,tie_epsilon
toys,full,HR@5,removal_minus_full,0.3154,0.3154,0.0,10000,1.0,True,True,1e-12
toys,full,HR@10,removal_minus_full,0.3987,0.3987,0.0,10000,1.0,True,True,1e-12
toys,full,HR@20,removal_minus_full,0.5138,0.5138,0.0,10000,1.0,True,True,1e-12
toys,full,NDCG@5,removal_minus_full,0.24491902805038585,0.24491902805038585,0.0,10000,1.0,True,True,1e-12
toys,full,NDCG@10,removal_minus_full,0.2717104421622066,0.2717104421622066,0.0,10000,1.0,True,True,1e-12
toys,full,NDCG@20,removal_minus_full,0.3005911527108128,0.3005911527108128,0.0,10000,1.0,True,True,1e-12
toys,without_boundary_uncertainty,MRR,removal_minus_full,0.25107494969225613,0.25107494969225613,0.0,10000,1.0,True,True,1e-12
toys,without_boundary_uncertainty,HR@5,removal_minus_full,0.3154,0.3154,0.0,10000,1.0,True,True,1e-12
toys,without_boundary_uncertainty,HR@10,removal_minus_full,0.3987,0.3987,0.0,10000,1.0,True,True,1e-12
toys,without_boundary_uncertainty,HR@20,removal_minus_full,0.5138,0.5138,0.0,10000,1.0,True,True,1e-12
toys,without_boundary_uncertainty,NDCG@5,removal_minus_full,0.24491902805038585,0.24491902805038585,0.0,10000,1.0,True,True,1e-12
toys,without_boundary_uncertainty,NDCG@10,removal_minus_full,0.2717104421622066,0.2717104421622066,0.0,10000,1.0,True,True,1e-12
toys,without_boundary_uncertainty,NDCG@20,removal_minus_full,0.3005911527108128,0.3005911527108128,0.0,10000,1.0,True,True,1e-12
toys,without_calibration_gap,MRR,removal_minus_full,0.25107494969225613,0.24991638867990582,-0.0011585610123503176,10000,1.0,True,True,1e-12
toys,without_calibration_gap,HR@5,removal_minus_full,0.3154,0.3112,-0.004200000000000037,10000,1.0,True,True,1e-12
toys,without_calibration_gap,HR@10,removal_minus_full,0.3987,0.3931,-0.005599999999999994,10000,1.0,True,True,1e-12
toys,without_calibration_gap,HR@20,removal_minus_full,0.5138,0.503,-0.010800000000000032,10000,1.0,True,True,1e-12
toys,without_calibration_gap,NDCG@5,removal_minus_full,0.24491902805038585,0.24315921568033205,-0.0017598123700537927,10000,1.0,True,True,1e-12
toys,without_calibration_gap,NDCG@10,removal_minus_full,0.2717104421622066,0.2694610337825951,-0.0022494083796114617,10000,1.0,True,True,1e-12
toys,without_calibration_gap,NDCG@20,removal_minus_full,0.3005911527108128,0.29701849543734216,-0.0035726572734706696,10000,1.0,True,True,1e-12
toys,without_evidence_support,MRR,removal_minus_full,0.25107494969225613,0.2501783560107169,-0.000896593681539215,10000,1.0,True,True,1e-12
toys,without_evidence_support,HR@5,removal_minus_full,0.3154,0.3148,-0.0005999999999999894,10000,1.0,True,True,1e-12
toys,without_evidence_support,HR@10,removal_minus_full,0.3987,0.3994,0.0006999999999999784,10000,1.0,True,True,1e-12
toys,without_evidence_support,HR@20,removal_minus_full,0.5138,0.5137,-9.999999999998899e-05,10000,1.0,True,True,1e-12
toys,without_evidence_support,NDCG@5,removal_minus_full,0.24491902805038585,0.24400658019030785,-0.0009124478600779917,10000,1.0,True,True,1e-12
toys,without_evidence_support,NDCG@10,removal_minus_full,0.2717104421622066,0.2712207227625981,-0.000489719399608457,10000,1.0,True,True,1e-12
toys,without_evidence_support,NDCG@20,removal_minus_full,0.3005911527108128,0.29988516070912774,-0.0007059920016850851,10000,1.0,True,True,1e-12
toys,without_counterevidence,MRR,removal_minus_full,0.25107494969225613,0.2511026340714827,2.7684379226566858e-05,10000,1.0,True,True,1e-12
toys,without_counterevidence,HR@5,removal_minus_full,0.3154,0.3159,0.0005000000000000004,10000,1.0,True,True,1e-12
toys,without_counterevidence,HR@10,removal_minus_full,0.3987,0.401,0.0023000000000000242,10000,1.0,True,True,1e-12
toys,without_counterevidence,HR@20,removal_minus_full,0.5138,0.514,0.00019999999999997797,10000,1.0,True,True,1e-12
toys,without_counterevidence,NDCG@5,removal_minus_full,0.24491902805038585,0.24503330302402607,0.00011427497364022154,10000,1.0,True,True,1e-12
toys,without_counterevidence,NDCG@10,removal_minus_full,0.2717104421622066,0.2724160193259551,0.0007055771637485275,10000,1.0,True,True,1e-12
toys,without_counterevidence,NDCG@20,removal_minus_full,0.3005911527108128,0.3006384689495084,4.731623869558277e-05,10000,1.0,True,True,1e-12
toys,without_risk_penalty,MRR,removal_minus_full,0.25107494969225613,0.25080490609920214,-0.0002700435930539924,10000,1.0,True,True,1e-12
toys,without_risk_penalty,HR@5,removal_minus_full,0.3154,0.315,-0.00040000000000001146,10000,1.0,True,True,1e-12
toys,without_risk_penalty,HR@10,removal_minus_full,0.3987,0.3996,0.0009000000000000119,10000,1.0,True,True,1e-12
toys,without_risk_penalty,HR@20,removal_minus_full,0.5138,0.5153,0.0014999999999999458,10000,1.0,True,True,1e-12
toys,without_risk_penalty,NDCG@5,removal_minus_full,0.24491902805038585,0.24442861598351293,-0.0004904120668729195,10000,1.0,True,True,1e-12
toys,without_risk_penalty,NDCG@10,removal_minus_full,0.2717104421622066,0.2717138285180185,3.3863558119295867e-06,10000,1.0,True,True,1e-12
toys,without_risk_penalty,NDCG@20,removal_minus_full,0.3005911527108128,0.30068715604351165,9.60033326988241e-05,10000,1.0,True,True,1e-12
home,full,MRR,removal_minus_full,0.12782447233056599,0.12782447233056599,0.0,10000,1.0,True,True,1e-12
home,full,HR@5,removal_minus_full,0.1597,0.1597,0.0,10000,1.0,True,True,1e-12
home,full,HR@10,removal_minus_full,0.2368,0.2368,0.0,10000,1.0,True,True,1e-12
home,full,HR@20,removal_minus_full,0.3613,0.3613,0.0,10000,1.0,True,True,1e-12
home,full,NDCG@5,removal_minus_full,0.11158865639109286,0.11158865639109286,0.0,10000,1.0,True,True,1e-12
home,full,NDCG@10,removal_minus_full,0.13635503352938705,0.13635503352938705,0.0,10000,1.0,True,True,1e-12
home,full,NDCG@20,removal_minus_full,0.16757911270800865,0.16757911270800865,0.0,10000,1.0,True,True,1e-12
home,without_boundary_uncertainty,MRR,removal_minus_full,0.12782447233056599,0.12782447233056599,0.0,10000,1.0,True,True,1e-12
home,without_boundary_uncertainty,HR@5,removal_minus_full,0.1597,0.1597,0.0,10000,1.0,True,True,1e-12
home,without_boundary_uncertainty,HR@10,removal_minus_full,0.2368,0.2368,0.0,10000,1.0,True,True,1e-12
home,without_boundary_uncertainty,HR@20,removal_minus_full,0.3613,0.3613,0.0,10000,1.0,True,True,1e-12
home,without_boundary_uncertainty,NDCG@5,removal_minus_full,0.11158865639109286,0.11158865639109286,0.0,10000,1.0,True,True,1e-12
home,without_boundary_uncertainty,NDCG@10,removal_minus_full,0.13635503352938705,0.13635503352938705,0.0,10000,1.0,True,True,1e-12
home,without_boundary_uncertainty,NDCG@20,removal_minus_full,0.16757911270800865,0.16757911270800865,0.0,10000,1.0,True,True,1e-12
home,without_calibration_gap,MRR,removal_minus_full,0.12782447233056599,0.12650199558518396,-0.001322476745382023,10000,1.0,True,True,1e-12
