domain,ccrp_ndcg10,strongest_baseline,strongest_baseline_ndcg10,gap_vs_strongest,gap_vs_strongest_pct,llmemb_ndcg10,gap_vs_llmemb,gap_vs_llmemb_pct,ccrp_wins,catalog_size,gini,head_top1pct_share,cand_tfidf_cos_mean,cand_jaccard_mean,cand_title_len_tokens,cand_vocab_size,cand_metadata_completeness,mean_user_hist_len,n_test_users,cand_title_coverage,hist_source
beauty,0.13405198045497876,proex_profile,0.15058877178954558,-0.016536791334566814,-10.981423872476832,0.12259360010805838,0.011458380346920385,9.346638272161483,False,1184,0.2583896225330602,0.03493847789761507,0.029211548308272023,0.031243330635172897,23.36593613861386,1012.24,0.9987376237623762,5.589928057553957,973,1.0,panel_ranking_test_jsonl
books,0.33280196207428,llmemb,0.27365830143129205,0.05914366064298793,21.612229679733378,0.27365830143129205,0.05914366064298793,21.612229679733378,True,963824,0.6021604595680536,0.22861171982157638,0.021353283046807153,0.031141281944225184,8.38809405940594,513.29,1.0,5.7967,10000,1.0,panel_ranking_test_jsonl
electronics,0.1832855407620405,llmemb,0.11963436550635798,0.06365117525568253,53.204758504194004,0.11963436550635798,0.06365117525568253,53.204758504194004,True,533532,0.7643725654439979,0.35941992462162514,0.023292576882571595,0.02386853201626552,21.204257425742576,1021.43,1.0,4.7687,10000,1.0,panel_ranking_test_jsonl
movies,0.12812717180077174,llmemb,0.16896032141625786,-0.04083314961548612,-24.167301099580552,0.16896032141625786,-0.04083314961548612,-24.167301099580552,False,258113,0.7322014399691086,0.29036030786078,0.02205050218519953,0.02496261393374685,5.203462963667597,180.625,0.5089851485148514,6.720158892687855,10000,0.5891640163562017,interactions_csv_proxy_all_users
sports,0.23286197589860086,llmemb,0.17950042152579318,0.05336155437280768,29.72781563364737,0.17950042152579318,0.05336155437280768,29.72781563364737,True,315692,0.6607811391886247,0.23941699760913163,0.012958460312962128,0.0123940642843188,15.485650247524752,904.76,0.9999752475247524,4.0731,10000,0.9999666232769266,panel_ranking_test_jsonl
toys,0.27079859856897753,llmemb,0.20485045979333913,0.0659481387756384,32.19330766558658,0.20485045979333913,0.0659481387756384,32.19330766558658,True,278889,0.6515007643088149,0.21709692416686568,0.0188172105964018,0.018483150577584713,16.30919183168317,846.0975,0.9998762376237623,4.3945,10000,0.9998669018068079,panel_ranking_test_jsonl
home,0.13239420796539653,llmemb,0.09390612986107003,0.0384880781043265,40.98569301201947,0.09390612986107003,0.0384880781043265,40.98569301201947,True,1160443,0.7442625814272938,0.3373022127079533,0.01766251991035949,0.018618868562271015,19.53628514851485,1023.72,0.9999257425742575,5.0899,10000,0.9999694030535753,panel_ranking_test_jsonl
tools,0.16611553052793934,llmemb,0.11594350972806679,0.050172020799872555,43.27281528525892,0.11594350972806679,0.050172020799872555,43.27281528525892,True,436030,0.6905488806875717,0.2498545764478188,0.01959502099798494,0.019627371929709234,19.591788366336633,1026.2625,0.9999504950495051,3.9923,10000,0.9999356250804686,panel_ranking_test_jsonl
