domain,rank_by_NDCG@10,method,kind,status_label,artifact_class,HR@5,HR@10,HR@20,NDCG@5,NDCG@10,NDCG@20,MRR,sample_count,avg_candidates,score_coverage_rate,ranking_events,total_candidates,matched_candidates,scores_csv_lines,predictions_jsonl_lines,predictions_jsonl_line_source,ranking_eval_records_csv_lines,summary_path,eval_path,scores_path,evidence_path,official_light_package_ok,ccrp_local_event_restat_ready
toys,2,llmemb,official_baseline,same_schema_external_baseline,completed_result,0.2499,0.3505,0.4866,0.17252113274887534,0.20485045979333913,0.23905481091819092,0.1813804118284203,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_llmemb_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_llmemb_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_llmemb_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/toys_large10000_100neg_llmemb_official_qwen3base_same_candidate,True,
toys,3,llm2rec_sasrec,official_baseline,same_schema_external_baseline,completed_result,0.2202,0.3172,0.4652,0.14756918078181372,0.17887285724512209,0.2160926282622066,0.15921596430464027,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/toys_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate,True,
toys,4,irllrec_intent,official_baseline,same_schema_external_baseline,completed_result,0.1565,0.2293,0.4098,0.11049209461545026,0.13380144693674725,0.17858514717923157,0.1311986744710446,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/toys_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate,True,
toys,5,rlmrec_graphcl,official_baseline,same_schema_external_baseline,completed_result,0.1281,0.1885,0.305,0.08716027936492049,0.10650871155525234,0.1353997243006345,0.1058452782968119,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/toys_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate,True,
toys,6,proex_profile,official_baseline,same_schema_external_baseline,completed_result,0.0895,0.1615,0.3017,0.05814121436501742,0.0810170703641553,0.11607709818340409,0.08121671352544661,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_proex_profile_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_proex_profile_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_proex_profile_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/toys_large10000_100neg_proex_profile_official_qwen3base_same_candidate,True,
toys,7,promax_profile,official_baseline,same_schema_external_baseline,completed_result,0.092,0.1435,0.2416,0.06289618254810066,0.07937554863319266,0.10387644003990415,0.08184625622431366,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_promax_profile_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_promax_profile_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_promax_profile_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/toys_large10000_100neg_promax_profile_official_qwen3base_same_candidate,True,
toys,8,llmesr_sasrec,official_baseline,same_schema_external_baseline,completed_result,0.0637,0.1172,0.2203,0.037504900117522603,0.05456849726033091,0.08036871527121746,0.05844977379835533,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/toys_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate,True,
toys,9,elmrec_graph,official_baseline,same_schema_external_baseline,completed_result,0.0545,0.1043,0.2013,0.03259298673054039,0.04856005753116526,0.072780391578795,0.05431081812612059,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/toys_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/toys_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate,True,
home,1,ccrp_v3_qwen3base_pointwise,internal_method,same_schema_internal_method,completed_result,0.1561,0.2264,0.3505,0.10978017620744406,0.13239420796539653,0.16351113583680343,0.1259477884601691,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,file,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_ccrp_v3_qwen3base_pointwise_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_ccrp_v3_qwen3base_pointwise_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_ccrp_v3/scores.csv,,,True
home,2,llmemb,official_baseline,same_schema_external_baseline,completed_result,0.1079,0.1856,0.3169,0.06899578967097944,0.09390612986107003,0.12674255822842873,0.09012268660291178,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_llmemb_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_llmemb_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_llmemb_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/home_large10000_100neg_llmemb_official_qwen3base_same_candidate,True,
