method,kind,ok,sample_count,avg_candidates,HR@5,HR@10,HR@20,NDCG@5,NDCG@10,NDCG@20,MRR,score_coverage_rate,scores_csv_lines,predictions_jsonl_lines,ranking_eval_records_csv_lines,failures
ccrp_v3_qwen3base_pointwise,internal_method,True,10000,101.0,0.2745,0.3819,0.5172,0.1984514067348281,0.23286197589860086,0.26700629932419995,0.20756582350031022,1.0,1010001,10000,10001,
llmemb,official_baseline,True,10000,101.0,0.2124,0.3384,0.49,0.13885272155602335,0.17950042152579318,0.21768683586414428,0.15388313355762076,1.0,1010001,10000,10001,
proex_profile,official_baseline,True,10000,101.0,0.0821,0.1527,0.2777,0.051682655562088085,0.07417226634971949,0.10540647147617481,0.07426897148543393,1.0,1010001,10000,10001,
promax_profile,official_baseline,True,10000,101.0,0.0825,0.1387,0.237,0.05418479544848338,0.07215334114813154,0.09675935910495721,0.07410527472370795,1.0,1010001,10000,10001,
elmrec_graph,official_baseline,True,10000,101.0,0.0532,0.1054,0.2013,0.0317045492853883,0.048371635820857316,0.07235047327652501,0.05370098509340962,1.0,1010001,10000,10001,
irllrec_intent,official_baseline,True,10000,101.0,0.1573,0.2215,0.4016,0.10642150916142634,0.12691703149297534,0.17128490034441315,0.12444202662842994,1.0,1010001,10000,10001,
rlmrec_graphcl,official_baseline,True,10000,101.0,0.1212,0.1879,0.3009,0.078580389191345,0.10001773336299705,0.12818232277286493,0.09720456858848743,1.0,1010001,10000,10001,
llm2rec_sasrec,official_baseline,True,10000,101.0,0.1105,0.206,0.3657,0.06514778914391295,0.09566791850988236,0.13561659669926907,0.08828933028385053,1.0,1010001,10000,10001,
llmesr_sasrec,official_baseline,True,10000,101.0,0.0916,0.1564,0.265,0.054919833257876506,0.0758115528438973,0.10310478593304104,0.0751149958885503,1.0,1010001,10000,10001,
