method,kind,ok,sample_count,avg_candidates,HR@5,HR@10,HR@20,NDCG@5,NDCG@10,NDCG@20,MRR,score_coverage_rate,scores_csv_lines,predictions_jsonl_lines,ranking_eval_records_csv_lines,failures
ccrp_v3_qwen3base_pointwise,internal_method,False,,,,,,,,,,,1010001,,,missing_imported_file:predictions/rank_predictions.jsonl;missing_imported_file:tables/ranking_metrics.csv;missing_imported_file:tables/same_candidate_external_baseline_summary.csv;missing_imported_file:tables/external_score_coverage.csv;missing_imported_file:tables/ranking_exposure_distribution.csv;missing_imported_file:tables/ranking_eval_records.csv;imported_prediction_jsonl_line_count_mismatch;imported_ranking_eval_records_line_count_mismatch;imported_summary_csv_line_count_mismatch;missing_metrics_csv;missing_summary_csv;missing_external_score_coverage_csv
llmemb,official_baseline,True,10000,101.0,0.2499,0.3505,0.4866,0.17252113274887534,0.20485045979333913,0.23905481091819092,0.1813804118284203,1.0,1010001,10000,10001,
proex_profile,official_baseline,True,10000,101.0,0.0895,0.1615,0.3017,0.058141214365017416,0.0810170703641553,0.11607709818340411,0.08121671352544663,1.0,1010001,10000,10001,
promax_profile,official_baseline,True,10000,101.0,0.092,0.1435,0.2416,0.06289618254810064,0.07937554863319267,0.10387644003990415,0.08184625622431366,1.0,1010001,10000,10001,
elmrec_graph,official_baseline,True,10000,101.0,0.0545,0.1043,0.2013,0.03259298673054038,0.04856005753116525,0.07278039157879498,0.05431081812612059,1.0,1010001,10000,10001,
irllrec_intent,official_baseline,True,10000,101.0,0.1565,0.2293,0.4098,0.11049209461545026,0.13380144693674725,0.1785851471792316,0.1311986744710446,1.0,1010001,10000,10001,
rlmrec_graphcl,official_baseline,True,10000,101.0,0.1281,0.1885,0.305,0.08716027936492049,0.10650871155525234,0.1353997243006345,0.1058452782968119,1.0,1010001,10000,10001,
llm2rec_sasrec,official_baseline,False,,,,,,,,,,,,,,missing_required_file:fairness_provenance.json;missing_required_file:scores.csv;missing_required_file:predictions/rank_predictions.jsonl;missing_required_file:tables/ranking_metrics.csv;missing_required_file:tables/same_candidate_external_baseline_summary.csv;missing_required_file:tables/external_score_coverage.csv;missing_required_file:tables/ranking_exposure_distribution.csv;missing_required_file:tables/ranking_eval_records.csv;scores_csv_line_count_mismatch;prediction_jsonl_line_count_mismatch;ranking_eval_records_line_count_mismatch;summary_csv_line_count_mismatch;missing_score_audit_json;missing_same_candidate_score_audit_txt;missing_run_summary_json;missing_fairness_provenance;missing_metrics_csv;missing_summary_csv;missing_external_score_coverage_csv
llmesr_sasrec,official_baseline,False,,,,,,,,,,,,,,missing_required_file:fairness_provenance.json;missing_required_file:scores.csv;missing_required_file:predictions/rank_predictions.jsonl;missing_required_file:tables/ranking_metrics.csv;missing_required_file:tables/same_candidate_external_baseline_summary.csv;missing_required_file:tables/external_score_coverage.csv;missing_required_file:tables/ranking_exposure_distribution.csv;missing_required_file:tables/ranking_eval_records.csv;scores_csv_line_count_mismatch;prediction_jsonl_line_count_mismatch;ranking_eval_records_line_count_mismatch;summary_csv_line_count_mismatch;missing_score_audit_json;missing_same_candidate_score_audit_txt;missing_run_summary_json;missing_fairness_provenance;missing_metrics_csv;missing_summary_csv;missing_external_score_coverage_csv
