method,kind,ok,sample_count,avg_candidates,HR@5,HR@10,HR@20,NDCG@5,NDCG@10,NDCG@20,MRR,score_coverage_rate,scores_csv_lines,predictions_jsonl_lines,ranking_eval_records_csv_lines,failures
ccrp_v3_qwen3base_pointwise,internal_method,True,10000,101.0,0.1561,0.2264,0.3505,0.10978017620744406,0.13239420796539653,0.16351113583680343,0.1259477884601691,1.0,1010001,10000,10001,
llmemb,official_baseline,True,10000,101.0,0.1079,0.1856,0.3169,0.06899578967097944,0.09390612986107003,0.12674255822842873,0.09012268660291177,1.0,1010001,10000,10001,
proex_profile,official_baseline,True,10000,101.0,0.0606,0.1177,0.2296,0.03662857786324662,0.054867449700296195,0.08290060869107069,0.05933326491258513,1.0,1010001,10000,10001,
promax_profile,official_baseline,True,10000,101.0,0.0514,0.1019,0.2076,0.030788292596664168,0.04691808776215203,0.07326077825489297,0.053474908740382465,1.0,1010001,10000,10001,
elmrec_graph,official_baseline,True,10000,101.0,0.0509,0.1021,0.2018,0.029717257242599254,0.0460440741915887,0.0708856096588022,0.05195852255617441,1.0,1010001,10000,10001,
irllrec_intent,official_baseline,True,10000,101.0,0.0821,0.1443,0.2878,0.05108975290090002,0.07089752436733526,0.10662011242627113,0.07424325424843974,1.0,1010001,10000,10001,
rlmrec_graphcl,official_baseline,True,10000,101.0,0.0685,0.1268,0.2451,0.04126795456098191,0.059869974785318684,0.08932211717259728,0.06397404670906748,1.0,1010001,10000,10001,
llm2rec_sasrec,official_baseline,True,10000,101.0,0.0577,0.1101,0.2153,0.034207889197971464,0.05094946457092549,0.07719596686909931,0.0563865859396318,1.0,1010001,10000,10001,
llmesr_sasrec,official_baseline,True,10000,101.0,0.0621,0.1163,0.2139,0.037993209299003045,0.055376101596196485,0.0797502336556021,0.059737054548523474,1.0,1010001,10000,10001,
