domain,split,ablation,status_label,selected_on,selected_on_test,score_mode,eta,confidence_weight,weight_boundary,weight_calibration_gap,weight_evidence,weight_grid_label,n_events,expected_events,expected_candidates_per_event,expected_candidate_key_count,candidate_key_count,score_key_count,score_coverage_rate,missing_score_keys,extra_score_keys,duplicate_score_keys,invalid_scores,blank_score_keys,audit_ok,score_degeneracy_event_count,constant_score_event_count,constant_score_event_rate,max_constant_event_rate,mean_unique_scores_per_event,min_unique_scores_per_event,tie_pair_count,total_score_pair_count,tie_pair_rate,max_tie_pair_rate,degeneracy_audit_ok,sample_count,parse_success_rate,avg_latency,avg_confidence,avg_candidates,MRR,out_of_candidate_rate,HR@5,NDCG@5,coverage@5,head_exposure_ratio@5,longtail_coverage@5,HR@10,NDCG@10,coverage@10,head_exposure_ratio@10,longtail_coverage@10,HR@20,NDCG@20,coverage@20,head_exposure_ratio@20,longtail_coverage@20
sports,test,full,same_schema_internal_ablation,preregistered,False,full,1.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,10000,101,1010000,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,8.9111,1,19677246,50500000,0.3896484356435644,0.7,True,10000,1.0,0.0,-1.0,101.0,0.20253036448346562,0.0,0.2672,0.19201899038505812,0.12229378982273997,0.7433,0.05427542092493199,0.3793,0.22809578956579013,0.20774232191531103,0.74138,0.10621277847217116,0.5183,0.2630918465808869,0.3475364155627702,0.73614,0.20866112785824573
sports,test,without_boundary_uncertainty,same_schema_internal_ablation,preregistered,False,full,1.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,10000,101,1010000,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,8.9111,1,19677246,50500000,0.3896484356435644,0.7,True,10000,1.0,0.0,-1.0,101.0,0.20253036448346562,0.0,0.2672,0.19201899038505812,0.12229378982273997,0.7433,0.05427542092493199,0.3793,0.22809578956579013,0.20774232191531103,0.74138,0.10621277847217116,0.5183,0.2630918465808869,0.3475364155627702,0.73614,0.20866112785824573
sports,test,without_calibration_gap,same_schema_internal_ablation,preregistered,False,full,1.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,10000,101,1010000,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,7.307,1,19945598,50500000,0.39496233663366337,0.7,True,10000,1.0,0.0,-1.0,101.0,0.20296331415704058,0.0,0.2649,0.19159706838659635,0.12367402211843956,0.74358,0.053951915300345564,0.3788,0.2283132273300448,0.2090661296203059,0.74253,0.10555106242188074,0.5166,0.26303587992878624,0.3485650792548482,0.735705,0.20898463348283214
sports,test,without_evidence_support,same_schema_internal_ablation,preregistered,False,full,1.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,10000,101,1010000,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,8.5142,1,19694045,50500000,0.3899810891089109,0.7,True,10000,1.0,0.0,-1.0,101.0,0.20254904928239503,0.0,0.2675,0.192162287510963,0.12244570218232956,0.74308,0.05451069774281303,0.3787,0.22792107556096816,0.20781176756540912,0.74168,0.10621277847217116,0.5189,0.26321093100014437,0.34762756297852393,0.73612,0.20866112785824573
sports,test,without_counterevidence,same_schema_internal_ablation,preregistered,False,full,1.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,10000,101,1010000,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,9.8512,1,19277493,50500000,0.38173253465346535,0.7,True,10000,1.0,0.0,-1.0,101.0,0.20372002768819056,0.0,0.2695,0.19347378833780982,0.12251948818555877,0.74252,0.053981324902580695,0.3813,0.2295171000274534,0.20794631851247417,0.74069,0.1065362840967576,0.5211,0.26473973351872077,0.34760152085973717,0.73528,0.20905815748841997
sports,test,without_risk_penalty,same_schema_internal_ablation,preregistered,False,full,1.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,10000,101,1010000,1010000,1010000,1.0,0,0,0,0,0,True,10000,2,0.0002,0.02,7.105,1,19959779,50500000,0.3952431485148515,0.7,True,10000,1.0,0.0,-1.0,101.0,0.20288658258217981,0.0,0.2676,0.19234445609267542,0.12233285300092016,0.7433,0.05421660172046173,0.3805,0.22867691170705043,0.20752096390562336,0.74127,0.10621277847217116,0.5191,0.26355727792706996,0.34683761870865815,0.736205,0.2085434894493052
