domain,split,row_kind,score_mode,ablation,eta,confidence_weight,weight_grid_label,candidate_key_count,score_key_count,score_coverage_rate,missing_score_keys,extra_score_keys,duplicate_score_keys,invalid_scores,blank_score_keys,audit_ok,score_degeneracy_event_count,constant_score_event_count,constant_score_event_rate,max_constant_event_rate,mean_unique_scores_per_event,min_unique_scores_per_event,tie_pair_count,total_score_pair_count,tie_pair_rate,max_tie_pair_rate,degeneracy_audit_ok,sample_count,parse_success_rate,avg_latency,avg_confidence,avg_candidates,MRR,out_of_candidate_rate,HR@5,NDCG@5,coverage@5,head_exposure_ratio@5,longtail_coverage@5,HR@10,NDCG@10,coverage@10,head_exposure_ratio@10,longtail_coverage@10,HR@20,NDCG@20,coverage@20,head_exposure_ratio@20,longtail_coverage@20
toys,test,main,full,full,1.0,0.7,"0.5,0.3,0.2",1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,9.5921,1,15986746,50500000,0.3165692277227723,0.7,True,10000,1.0,0.0,-1.0,101.0,0.25107494969225613,0.0,0.3154,0.24491902805038585,0.13880111327214417,0.7406,0.04990188727406155,0.3987,0.2717104421622066,0.22942165417924434,0.74169,0.09777770687427213,0.5138,0.3005911527108128,0.36553377255153124,0.73878,0.19070561396231833
toys,test,diagnostic,full,without_boundary_uncertainty,1.0,0.7,"0.5,0.3,0.2",1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,9.5921,1,15986746,50500000,0.3165692277227723,0.7,True,10000,1.0,0.0,-1.0,101.0,0.25107494969225613,0.0,0.3154,0.24491902805038585,0.13880111327214417,0.7406,0.04990188727406155,0.3987,0.2717104421622066,0.22942165417924434,0.74169,0.09777770687427213,0.5138,0.3005911527108128,0.36553377255153124,0.73878,0.19070561396231833
toys,test,diagnostic,full,without_calibration_gap,1.0,0.7,"0.5,0.3,0.2",1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,7.6095,1,16722142,50500000,0.33113152475247526,0.7,True,10000,1.0,0.0,-1.0,101.0,0.24991638867990582,0.0,0.3112,0.24315921568033205,0.13959698041413346,0.74112,0.05033262607086451,0.3931,0.2694610337825951,0.23225663654301684,0.74196,0.0988306239331238,0.503,0.29701849543734216,0.36990397792292806,0.738525,0.19324218687682465
toys,test,diagnostic,full,without_evidence_support,1.0,0.7,"0.5,0.3,0.2",1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,9.173,1,16019644,50500000,0.3172206732673267,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2501783560107169,0.0,0.3148,0.24400658019030785,0.13898948419332507,0.73994,0.04971044780881579,0.3994,0.2712207227625981,0.22949229327468718,0.74177,0.09765008056410829,0.5137,0.29988516070912774,0.3656091209200036,0.73875,0.19068966067354784
toys,test,diagnostic,full,without_counterevidence,1.0,0.7,"0.5,0.3,0.2",1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,10.3786,1,15365487,50500000,0.3042670693069307,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2511026340714827,0.0,0.3159,0.24503330302402607,0.13922965711783072,0.73872,0.050157139894389226,0.401,0.2724160193259551,0.22974188474525187,0.74054,0.09817653909353413,0.514,0.3006384689495084,0.36539720363367506,0.738165,0.1902589218767449
toys,test,diagnostic,full,without_risk_penalty,1.0,0.7,"0.5,0.3,0.2",1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,7.4231,1,16747158,50500000,0.3316268910891089,0.7,True,10000,1.0,0.0,-1.0,101.0,0.25080490609920214,0.0,0.315,0.24442861598351293,0.13881053181820321,0.7396,0.049965700429143466,0.3996,0.2717138285180185,0.2292238647120044,0.74113,0.09798509962828837,0.5153,0.30068715604351165,0.36478970741286665,0.73856,0.1903386883205973
toys,test,diagnostic,confidence_only,full,1.0,0.7,"0.5,0.3,0.2",1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,7.4231,1,16747158,50500000,0.3316268910891089,0.7,True,10000,1.0,0.0,-1.0,101.0,0.25080490609920214,0.0,0.315,0.24442861598351293,0.13881053181820321,0.7396,0.049965700429143466,0.3996,0.2717138285180185,0.2292238647120044,0.74113,0.09798509962828837,0.5153,0.30068715604351165,0.36478970741286665,0.73856,0.1903386883205973
toys,test,diagnostic,evidence_only,full,1.0,0.7,"0.5,0.3,0.2",1010000,1010000,1.0,0,0,0,0,0,True,10000,1239,0.1239,0.02,3.1244,1,45116308,50500000,0.8933922376237624,0.7,False,10000,1.0,0.0,-1.0,101.0,0.22426940306577772,0.0,0.2744,0.21815328218768396,0.14797006786062436,0.72882,0.05586841727422108,0.3318,0.2365184034675694,0.2571451445040429,0.7188,0.11652282117958618,0.4145,0.25724590491451255,0.4289441338940508,0.702395,0.24397364516695116
toys,test,diagnostic,confidence_plus_evidence,full,1.0,0.7,"0.5,0.3,0.2",1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,9.5921,1,15986746,50500000,0.3165692277227723,0.7,True,10000,1.0,0.0,-1.0,101.0,0.25103383858114503,0.0,0.3155,0.24492773865065912,0.1387822761800261,0.74066,0.04985402740775011,0.3987,0.27168090130084904,0.22942636345227388,0.74169,0.09779366016304261,0.5138,0.30056161184945523,0.3655384818245607,0.738775,0.19070561396231833
